Playerid,Datum,Verein,Name,Position,Punkte,Punkte pro Spiel,Passquote,Zweikampf,Marktwert
30755,26/12/2022,FC Bayern München,Neuer,Torwart,43,"3,58",87%,83%,1200000
33671,26/12/2022,FC Bayern München,Schenk,Torwart,0,-,-,-,250000
31216,26/12/2022,FC Bayern München,Ulreich,Torwart,8,"2,67",81%,67%,2210000
33021,26/12/2022,FC Bayern München,Davies,Abwehr,35,"2,92",89%,55%,6670000
33660,26/12/2022,FC Bayern München,de Ligt,Abwehr,44,"3,67",92%,54%,7100000
33605,26/12/2022,FC Bayern München,Mazraoui,Abwehr,29,"2,64",88%,57%,5020000
33386,26/12/2022,FC Bayern München,Stanišić,Abwehr,7,"1,17",92%,58%,870000
33349,26/12/2022,FC Bayern München,Sarr,Abwehr,0,-,-,-,200000
33074,26/12/2022,FC Bayern München,Lucas Hernández,Abwehr,18,"2,57",91%,63%,2300000
32742,26/12/2022,FC Bayern München,Pavard,Abwehr,71,"5,46",89%,66%,6630000
32720,26/12/2022,FC Bayern München,Upamecano,Abwehr,54,"3,60",91%,59%,7450000
33547,26/12/2022,FC Bayern München,Wanner,Mittelfeld,3,"3,00",71%,67%,460000
32590,26/12/2022,FC Bayern München,Sabitzer,Mittelfeld,44,"3,14",88%,55%,2940000
33236,26/12/2022,FC Bayern München,Musiala,Mittelfeld,96,"6,86",85%,45%,17720000
32187,26/12/2022,FC Bayern München,Goretzka,Mittelfeld,51,"4,64",83%,58%,11020000
32445,26/12/2022,FC Bayern München,Kimmich,Mittelfeld,115,"7,67",89%,53%,16840000
33626,26/12/2022,FC Bayern München,Gravenberch,Mittelfeld,11,"1,10",88%,45%,1970000
33662,26/12/2022,FC Bayern München,Tel,Sturm,27,"3,86",85%,43%,4060000
33633,26/12/2022,FC Bayern München,Mané,Sturm,63,"4,50",75%,48%,13450000
32272,26/12/2022,FC Bayern München,L. Sané,Sturm,69,"5,31",84%,51%,14290000
32696,26/12/2022,FC Bayern München,Gnabry,Sturm,93,"6,20",83%,39%,14890000
32518,26/12/2022,FC Bayern München,Coman,Sturm,27,"3,00",86%,45%,8910000
31165,26/12/2022,FC Bayern München,Choupo-Moting,Sturm,66,"6,60",76%,55%,15020000
31362,26/12/2022,FC Bayern München,T. Müller,Sturm,44,"5,50",79%,50%,12050000
32638,26/12/2022,Borussia Dortmund,Kobel,Torwart,42,"3,82",81%,100%,3350000
32841,26/12/2022,Borussia Dortmund,A. Meyer,Torwart,5,"1,25",88%,50%,240000
33036,26/12/2022,Borussia Dortmund,Unbehaun,Torwart,0,-,-,-,420000
33396,26/12/2022,Borussia Dortmund,Lotka,Torwart,0,-,-,-,170000
33038,26/12/2022,Borussia Dortmund,N. Schlotterbeck,Abwehr,70,"4,67",87%,68%,7060000
33137,26/12/2022,Borussia Dortmund,Mateu Morey,Abwehr,0,-,-,-,1200000
33259,26/12/2022,Borussia Dortmund,Meunier,Abwehr,23,"2,88",72%,52%,2170000
33432,26/12/2022,Borussia Dortmund,S. Coulibaly,Abwehr,0,-,-,-,180000
33509,26/12/2022,Borussia Dortmund,A. Papadopoulos,Abwehr,2,"2,00",89%,33%,210000
33567,26/12/2022,Borussia Dortmund,Rothe,Abwehr,4,"4,00",100%,100%,240000
31002,26/12/2022,Borussia Dortmund,Hummels,Abwehr,52,"4,00",88%,59%,5580000
32632,26/12/2022,Borussia Dortmund,Raphaël Guerreiro,Abwehr,47,"3,92",86%,59%,6060000
32556,26/12/2022,Borussia Dortmund,Passlack,Abwehr,4,"2,00",73%,80%,250000
31779,26/12/2022,Borussia Dortmund,N. Schulz,Abwehr,0,-,-,-,320000
32122,26/12/2022,Borussia Dortmund,Süle,Abwehr,34,"2,83",89%,56%,3640000
32546,26/12/2022,Borussia Dortmund,M. Wolf,Abwehr,34,"3,40",73%,57%,2120000
33690,26/12/2022,Borussia Dortmund,Pašalić,Mittelfeld,0,"0,00",100%,33%,240000
33608,26/12/2022,Borussia Dortmund,Gürpüz,Mittelfeld,0,-,-,-,430000
32677,26/12/2022,Borussia Dortmund,Özcan,Mittelfeld,22,"1,83",88%,49%,2760000
33497,26/12/2022,Borussia Dortmund,Kamara,Mittelfeld,0,-,-,-,180000
31935,26/12/2022,Borussia Dortmund,Can,Mittelfeld,14,"1,56",89%,56%,1140000
33309,26/12/2022,Borussia Dortmund,Bellingham,Mittelfeld,83,"5,53",83%,60%,13550000
32236,26/12/2022,Borussia Dortmund,Brandt,Mittelfeld,70,"4,67",83%,45%,9000000
32208,26/12/2022,Borussia Dortmund,Dahoud,Mittelfeld,9,"3,00",78%,56%,4900000
33260,26/12/2022,Borussia Dortmund,Moukoko,Sturm,53,"4,08",72%,43%,9860000
33687,26/12/2022,Borussia Dortmund,Njinmah,Sturm,0,"0,00",0%,50%,440000
33575,26/12/2022,Borussia Dortmund,Adeyemi,Sturm,13,"1,18",75%,42%,4610000
33569,26/12/2022,Borussia Dortmund,Bynoe-Gittens,Sturm,2,"0,50",79%,35%,3570000
31454,26/12/2022,Borussia Dortmund,Reus,Sturm,28,"3,11",78%,42%,9890000
33501,26/12/2022,Borussia Dortmund,Malen,Sturm,20,"2,00",78%,42%,4580000
33198,26/12/2022,Borussia Dortmund,Reyna,Sturm,22,"2,20",75%,46%,5470000
32197,26/12/2022,Borussia Dortmund,Modeste,Sturm,33,"2,54",62%,38%,4000000
32769,26/12/2022,Borussia Dortmund,Haller,Sturm,0,-,-,-,9580000
32342,26/12/2022,Borussia Dortmund,Hazard,Sturm,22,"1,69",80%,44%,1910000
32508,26/12/2022,Bayer Leverkusen,Hradecky,Torwart,25,"1,79",70%,100%,2040000
32007,26/12/2022,Bayer Leverkusen,Lomb,Torwart,0,-,-,-,160000
33479,26/12/2022,Bayer Leverkusen,Lunev,Torwart,0,"0,00",76%,-,170000
33366,26/12/2022,Bayer Leverkusen,Fosu-Mensah,Abwehr,8,"1,60",80%,58%,400000
33369,26/12/2022,Bayer Leverkusen,Frimpong,Abwehr,65,"4,33",79%,55%,6670000
33125,26/12/2022,Bayer Leverkusen,Sinkgraven,Abwehr,6,"1,50",71%,47%,370000
33511,26/12/2022,Bayer Leverkusen,Hincapié,Abwehr,31,"2,38",83%,53%,3050000
33481,26/12/2022,Bayer Leverkusen,Bakker,Abwehr,17,"1,31",77%,45%,1160000
32157,26/12/2022,Bayer Leverkusen,Tah,Abwehr,32,"2,13",89%,54%,2710000
33499,26/12/2022,Bayer Leverkusen,Kossounou ,Abwehr,14,"1,40",83%,55%,940000
33207,26/12/2022,Bayer Leverkusen,Tapsoba,Abwehr,35,"2,33",86%,59%,3260000
33449,26/12/2022,Bayer Leverkusen,Azhil,Mittelfeld,0,-,-,-,200000
33483,26/12/2022,Bayer Leverkusen,Sertdemir,Mittelfeld,0,-,-,-,170000
33189,26/12/2022,Bayer Leverkusen,Palacios,Mittelfeld,35,"3,50",85%,57%,4070000
33614,26/12/2022,Bayer Leverkusen,Eze,Mittelfeld,0,-,-,-,240000
32512,26/12/2022,Bayer Leverkusen,Charles Aránguiz,Mittelfeld,25,"2,50",83%,56%,1160000
32395,26/12/2022,Bayer Leverkusen,Amiri,Mittelfeld,21,"1,91",83%,48%,2810000
32155,26/12/2022,Bayer Leverkusen,Demirbay,Mittelfeld,46,"3,29",79%,36%,4870000
32129,26/12/2022,Bayer Leverkusen,Andrich,Mittelfeld,37,"2,85",84%,57%,3330000
33215,26/12/2022,Bayer Leverkusen,Wirtz,Mittelfeld,0,-,-,-,13720000
33556,26/12/2022,Bayer Leverkusen,Azmoun,Sturm,10,"1,25",59%,38%,1770000
33619,26/12/2022,Bayer Leverkusen,Hložek,Sturm,31,"2,38",83%,39%,3030000
33514,26/12/2022,Bayer Leverkusen,Adli,Sturm,11,"1,38",83%,37%,1640000
31764,26/12/2022,Bayer Leverkusen,Bellarabi,Sturm,0,"0,00",62%,50%,1550000
33179,26/12/2022,Bayer Leverkusen,Schick,Sturm,22,"2,00",71%,43%,10850000
33122,26/12/2022,Bayer Leverkusen,Diaby,Sturm,78,"5,20",81%,38%,12570000
33680,26/12/2022,Bayer Leverkusen,Hudson-Odoi,Sturm,18,"2,00",88%,58%,4030000
33663,26/12/2022,RB Leipzig,Nickisch,Torwart,0,-,-,-,170000
32575,26/12/2022,RB Leipzig,Gulácsi,Torwart,15,"2,50",85%,-,810000
32481,26/12/2022,RB Leipzig,Nyland,Torwart,5,"5,00",88%,-,250000
33664,26/12/2022,RB Leipzig,Schlieck,Torwart,0,-,-,-,160000
31827,26/12/2022,RB Leipzig,Blaswich,Torwart,19,"2,38",84%,100%,1740000
33434,26/12/2022,RB Leipzig,Simakan,Abwehr,31,"3,10",85%,50%,3020000
33433,26/12/2022,RB Leipzig,Gvardiol,Abwehr,22,"1,69",90%,60%,5600000
32824,26/12/2022,RB Leipzig,Diallo,Abwehr,24,"4,80",86%,56%,3050000
33436,26/12/2022,RB Leipzig,Raum,Abwehr,29,"2,07",81%,46%,4770000
33679,26/12/2022,RB Leipzig,Ba,Abwehr,0,-,-,-,360000
32581,26/12/2022,RB Leipzig,Klostermann,Abwehr,2,"2,00",75%,71%,2830000
32580,26/12/2022,RB Leipzig,Halstenberg,Abwehr,26,"2,17",85%,56%,2250000
32461,26/12/2022,RB Leipzig,Henrichs,Abwehr,32,"2,29",73%,61%,1850000
31846,26/12/2022,RB Leipzig,Orbán,Abwehr,82,"5,47",89%,62%,7950000
33540,26/12/2022,RB Leipzig,Clark,Mittelfeld,0,-,-,-,250000
33363,26/12/2022,RB Leipzig,Szoboszlai,Mittelfeld,63,"4,85",83%,47%,11020000
33200,26/12/2022,RB Leipzig,Dani Olmo,Mittelfeld,35,"3,50",80%,45%,9680000
31612,26/12/2022,RB Leipzig,Kampl,Mittelfeld,28,"2,00",91%,45%,1550000
32589,26/12/2022,RB Leipzig,Forsberg,Mittelfeld,29,"2,42",86%,46%,3850000
32800,26/12/2022,RB Leipzig,Laimer,Mittelfeld,7,"1,75",77%,50%,5140000
33023,26/12/2022,RB Leipzig,Haidara,Mittelfeld,16,"1,33",83%,30%,1520000
33133,26/12/2022,RB Leipzig,Schlager,Mittelfeld,26,"2,36",87%,46%,3570000
33151,26/12/2022,RB Leipzig,Nkunku,Sturm,102,"6,80",82%,43%,15950000
32591,26/12/2022,RB Leipzig,Y. Poulsen,Sturm,7,"1,17",42%,55%,1770000
33330,26/12/2022,RB Leipzig,Hugo Novoa,Sturm,11,"1,83",73%,41%,760000
32211,26/12/2022,RB Leipzig,Werner,Sturm,34,"3,78",75%,31%,11410000
33180,26/12/2022,RB Leipzig,André Silva,Sturm,40,"2,86",74%,41%,7080000
33257,26/12/2022,FC Union Berlin,L. Grill,Torwart,-5,"-1,25",66%,67%,250000
33091,26/12/2022,FC Union Berlin,Busk,Torwart,0,-,-,-,170000
32921,26/12/2022,FC Union Berlin,Rönnow,Torwart,42,"3,82",67%,75%,2750000
32883,26/12/2022,FC Union Berlin,Jaeckel,Abwehr,19,"1,90",80%,42%,550000
33141,26/12/2022,FC Union Berlin,Ryerson,Abwehr,34,"2,62",73%,49%,1960000
32340,26/12/2022,FC Union Berlin,Baumgartl,Abwehr,5,"1,25",83%,62%,860000
31864,26/12/2022,FC Union Berlin,Knoche,Abwehr,38,"2,71",81%,60%,2980000
33442,26/12/2022,FC Union Berlin,Puchacz,Abwehr,1,"1,00",73%,33%,320000
33609,26/12/2022,FC Union Berlin,Doekhi,Abwehr,26,"4,33",81%,61%,1810000
33659,26/12/2022,FC Union Berlin,Diogo Leite,Abwehr,26,"2,00",80%,57%,2080000
32057,26/12/2022,FC Union Berlin,Gießelmann,Abwehr,28,"2,55",75%,45%,1230000
33096,26/12/2022,FC Union Berlin,Trimmel,Abwehr,32,"2,46",64%,47%,1720000
33470,26/12/2022,FC Union Berlin,F. Schneider,Mittelfeld,0,-,-,-,200000
33550,26/12/2022,FC Union Berlin,Schäfer,Mittelfeld,14,"1,27",76%,46%,850000
33131,26/12/2022,FC Union Berlin,Dehl,Mittelfeld,0,-,-,-,220000
32924,26/12/2022,FC Union Berlin,Möhwald,Mittelfeld,0,-,-,-,300000
32073,26/12/2022,FC Union Berlin,R. Khedira,Mittelfeld,26,"1,86",75%,50%,1710000
32185,26/12/2022,FC Union Berlin,Öztunali,Mittelfeld,0,-,-,0%,290000
32251,26/12/2022,FC Union Berlin,Seguin,Mittelfeld,16,"2,29",77%,52%,560000
33661,26/12/2022,FC Union Berlin,Thorsby,Mittelfeld,15,"1,36",68%,44%,630000
32310,26/12/2022,FC Union Berlin,Haberer,Mittelfeld,40,"3,08",69%,39%,2340000
32324,26/12/2022,FC Union Berlin,Haraguchi,Mittelfeld,16,"2,00",81%,69%,590000
32532,26/12/2022,FC Union Berlin,Pantović,Mittelfeld,12,"1,50",69%,48%,550000
33411,26/12/2022,FC Union Berlin,Leweling,Sturm,6,"1,00",88%,41%,650000
33294,26/12/2022,FC Union Berlin,Maciejewski,Sturm,0,-,-,-,200000
32087,26/12/2022,FC Union Berlin,Michel,Sturm,31,"2,82",61%,40%,1390000
33616,26/12/2022,FC Union Berlin,Skarke,Sturm,0,"0,00",71%,27%,1870000
33641,26/12/2022,FC Union Berlin,Jordan,Sturm,48,"3,69",53%,44%,5990000
33135,26/12/2022,FC Union Berlin,S. Becker,Sturm,81,"5,40",69%,29%,8350000
33469,26/12/2022,FC Union Berlin,Behrens,Sturm,40,"2,67",63%,52%,1970000
33439,26/12/2022,SC Freiburg,Atubolu,Torwart,0,-,-,-,160000
32925,26/12/2022,SC Freiburg,Flekken,Torwart,55,"3,67",72%,86%,3550000
31881,26/12/2022,SC Freiburg,Uphoff,Torwart,0,-,-,-,190000
33461,26/12/2022,SC Freiburg,Sildillia,Abwehr,28,"2,00",75%,44%,1480000
33462,26/12/2022,SC Freiburg,Ezekwem,Abwehr,0,-,-,-,200000
32807,26/12/2022,SC Freiburg,Lienhart,Abwehr,43,"2,87",86%,67%,3670000
32597,26/12/2022,SC Freiburg,Kübler,Abwehr,31,"6,20",70%,51%,3960000
33541,26/12/2022,SC Freiburg,Siquet,Abwehr,1,"1,00",83%,75%,210000
32019,26/12/2022,SC Freiburg,C. Günter,Abwehr,40,"2,67",77%,38%,3340000
31910,26/12/2022,SC Freiburg,Ginter,Abwehr,74,"4,93",84%,66%,6780000
31751,26/12/2022,SC Freiburg,J. Schmid,Abwehr,0,-,-,-,410000
31453,26/12/2022,SC Freiburg,Gulde,Abwehr,4,"1,33",83%,50%,390000
32953,26/12/2022,SC Freiburg,K. Schlotterbeck,Abwehr,5,"2,50",100%,100%,2220000
33463,26/12/2022,SC Freiburg,Schade,Mittelfeld,13,"1,63",53%,50%,2220000
33576,26/12/2022,SC Freiburg,R. Wagner,Mittelfeld,0,"0,00",100%,0%,220000
33637,26/12/2022,SC Freiburg,Kyereh,Mittelfeld,17,"1,89",81%,43%,1700000
33458,26/12/2022,SC Freiburg,Weißhaupt ,Mittelfeld,12,"1,50",59%,53%,460000
33211,26/12/2022,SC Freiburg,Keitel,Mittelfeld,12,"1,33",83%,42%,630000
32398,26/12/2022,SC Freiburg,M. Eggestein,Mittelfeld,35,"2,69",79%,55%,2680000
31710,26/12/2022,SC Freiburg,Höfler,Mittelfeld,39,"2,60",85%,57%,3010000
33006,26/12/2022,SC Freiburg,Sallai,Mittelfeld,15,"2,14",76%,56%,3070000
33677,26/12/2022,SC Freiburg,Röhl,Mittelfeld,0,-,-,-,210000
32071,26/12/2022,SC Freiburg,Grifo,Mittelfeld,116,"7,73",80%,54%,16320000
31958,26/12/2022,SC Freiburg,Gregoritsch,Sturm,78,"5,20",56%,50%,9740000
33335,26/12/2022,SC Freiburg,Doan,Sturm,42,"2,80",74%,44%,5260000
32861,26/12/2022,SC Freiburg,Höler,Sturm,5,"0,71",59%,36%,3550000
33035,26/12/2022,SC Freiburg,Jeong,Sturm,21,"1,62",80%,39%,1150000
31395,26/12/2022,SC Freiburg,Petersen,Sturm,13,"1,30",50%,29%,740000
33494,26/12/2022,FC Köln,Urbig,Torwart,0,-,-,-,160000
31848,26/12/2022,FC Köln,T. Horn,Torwart,0,-,-,-,240000
32356,26/12/2022,FC Köln,Schwäbe,Torwart,12,"0,80",80%,100%,880000
33495,26/12/2022,FC Köln,Köbbing,Torwart,0,-,-,-,160000
33642,26/12/2022,FC Köln,Strauch,Abwehr,0,-,-,-,210000
33105,26/12/2022,FC Köln,Kilian,Abwehr,10,"0,77",86%,57%,880000
33632,26/12/2022,FC Köln,K. Pedersen,Abwehr,6,"1,20",75%,59%,280000
33688,26/12/2022,FC Köln,Smajić,Abwehr,0,-,-,-,210000
33552,26/12/2022,FC Köln,Chabot,Abwehr,10,"5,00",88%,58%,710000
33686,26/12/2022,FC Köln,Soldo,Abwehr,5,"1,00",78%,50%,500000
33051,26/12/2022,FC Köln,Schindler,Abwehr,12,"0,86",67%,53%,400000
32278,26/12/2022,FC Köln,Hector,Abwehr,45,"3,46",78%,69%,3840000
32744,26/12/2022,FC Köln,Hübers,Abwehr,22,"1,83",83%,57%,1650000
32628,26/12/2022,FC Köln,B. Schmitz,Abwehr,35,"2,50",63%,58%,1590000
32636,26/12/2022,FC Köln,Kainz,Mittelfeld,81,"5,79",73%,44%,8980000
33453,26/12/2022,FC Köln,Ljubičić,Mittelfeld,40,"4,44",82%,42%,4890000
33356,26/12/2022,FC Köln,Martel,Mittelfeld,19,"1,73",81%,54%,870000
33338,26/12/2022,FC Köln,Limnios,Mittelfeld,0,-,-,-,230000
33621,26/12/2022,FC Köln,Huseinbašić,Mittelfeld,20,"2,50",85%,39%,1940000
32668,26/12/2022,FC Köln,Duda,Mittelfeld,8,"0,62",78%,40%,920000
33157,26/12/2022,FC Köln,Skhiri,Mittelfeld,45,"3,21",89%,57%,4320000
32881,26/12/2022,FC Köln,Maina,Mittelfeld,30,"2,14",74%,40%,1850000
33562,26/12/2022,FC Köln,Olesen,Mittelfeld,5,"1,67",73%,60%,370000
33615,26/12/2022,FC Köln,Dietz,Sturm,13,"1,30",58%,42%,340000
33365,26/12/2022,FC Köln,Tigges,Sturm,35,"2,92",60%,44%,2490000
33270,26/12/2022,FC Köln,Lemperle,Sturm,1,"0,33",60%,17%,390000
33185,26/12/2022,FC Köln,Thielmann,Sturm,21,"2,10",69%,48%,1570000
33100,26/12/2022,FC Köln,S. Andersson,Sturm,0,-,-,-,300000
33077,26/12/2022,FC Köln,Adamyan,Sturm,17,"1,31",74%,27%,950000
31709,26/12/2022,FC Köln,Uth,Sturm,4,"1,33",83%,60%,1720000
